time,x,y,z,vx,vy,vz
0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.00000000,0.00000000
0.10000000,0.00000000,0.10000000,0.00000000,0.10000000,1.00000000,0.00000000
0.20000000,0.01000000,0.20000000,0.00000000,0.20000000,0.99000000,0.00000000
0.30000000,0.03000000,0.29900000,0.00000000,0.29900000,0.97000000,0.00000000
0.40000000,0.05990000,0.39600000,0.00000000,0.39600000,0.94010000,0.00000000
0.50000000,0.09950000,0.49001000,0.00000000,0.49001000,0.90050000,0.00000000
0.60000000,0.14850100,0.58006000,0.00000000,0.58006000,0.85149900,0.00000000
0.70000000,0.20650700,0.66520990,0.00000000,0.66520990,0.79349300,0.00000000
0.80000000,0.27302799,0.74455920,0.00000000,0.74455920,0.72697201,0.00000000
0.90000000,0.34748391,0.81725640,0.00000000,0.81725640,0.65251609,0.00000000
1.00000000,0.42920955,0.88250801,0.00000000,0.88250801,0.57079045,0.00000000
1.10000000,0.51746035,0.93958705,0.00000000,0.93958705,0.48253965,0.00000000
1.20000000,0.61141906,0.98784102,0.00000000,0.98784102,0.38858094,0.00000000
1.30000000,0.71020316,1.02669911,0.00000000,1.02669911,0.28979684,0.00000000
1.40000000,0.81287307,1.05567880,0.00000000,1.05567880,0.18712693,0.00000000
1.50000000,0.91844095,1.07439149,0.00000000,1.07439149,0.08155905,0.00000000
1.60000000,1.02588010,1.08254740,0.00000000,1.08254740,-0.02588010,0.00000000
1.70000000,1.13413484,1.07995939,0.00000000,1.07995939,-0.13413484,0.00000000
1.80000000,1.24213078,1.06654590,0.00000000,1.06654590,-0.24213078,0.00000000
1.90000000,1.34878537,1.04233282,0.00000000,1.04233282,-0.34878537,0.00000000
2.00000000,1.45301865,1.00745429,0.00000000,1.00745429,-0.45301865,0.00000000
2.10000000,1.55376408,0.96215242,0.00000000,0.96215242,-0.55376408,0.00000000
2.20000000,1.64997932,0.90677602,0.00000000,0.90677602,-0.64997932,0.00000000
2.30000000,1.74065692,0.84177808,0.00000000,0.84177808,-0.74065692,0.00000000
2.40000000,1.82483473,0.76771239,0.00000000,0.76771239,-0.82483473,0.00000000
2.50000000,1.90160597,0.68522892,0.00000000,0.68522892,-0.90160597,0.00000000
2.60000000,1.97012886,0.59506832,0.00000000,0.59506832,-0.97012886,0.00000000
2.70000000,2.02963569,0.49805543,0.00000000,0.49805543,-1.02963569,0.00000000
2.80000000,2.07944124,0.39509187,0.00000000,0.39509187,-1.07944124,0.00000000
2.90000000,2.11895042,0.28714774,0.00000000,0.28714774,-1.11895042,0.00000000
3.00000000,2.14766520,0.17525270,0.00000000,0.17525270,-1.14766520,0.00000000
3.10000000,2.16519047,0.06048618,0.00000000,0.06048618,-1.16519047,0.00000000
3.20000000,2.17123909,-0.05603287,0.00000000,-0.05603287,-1.17123909,0.00000000
3.30000000,2.16563580,-0.17315678,0.00000000,-0.17315678,-1.16563580,0.00000000
3.40000000,2.14832012,-0.28972036,0.00000000,-0.28972036,-1.14832012,0.00000000
3.50000000,2.11934809,-0.40455237,0.00000000,-0.40455237,-1.11934809,0.00000000
3.60000000,2.07889285,-0.51648718,0.00000000,-0.51648718,-1.07889285,0.00000000
3.70000000,2.02724413,-0.62437646,0.00000000,-0.62437646,-1.02724413,0.00000000
3.80000000,1.96480649,-0.72710087,0.00000000,-0.72710087,-0.96480649,0.00000000
3.90000000,1.89209640,-0.82358152,0.00000000,-0.82358152,-0.89209640,0.00000000
4.00000000,1.80973825,-0.91279116,0.00000000,-0.91279116,-0.80973825,0.00000000
4.10000000,1.71845913,-0.99376499,0.00000000,-0.99376499,-0.71845913,0.00000000
4.20000000,1.61908263,-1.06561090,0.00000000,-1.06561090,-0.61908263,0.00000000
4.30000000,1.51252154,-1.12751916,0.00000000,-1.12751916,-0.51252154,0.00000000
4.40000000,1.39976962,-1.17877132,0.00000000,-1.17877132,-0.39976962,0.00000000
4.50000000,1.28189249,-1.21874828,0.00000000,-1.21874828,-0.28189249,0.00000000
4.60000000,1.16001766,-1.24693753,0.00000000,-1.24693753,-0.16001766,0.00000000
4.70000000,1.03532391,-1.26293930,0.00000000,-1.26293930,-0.03532391,0.00000000
4.80000000,0.90902998,-1.26647169,0.00000000,-1.26647169,0.09097002,0.00000000
4.90000000,0.78238281,-1.25737468,0.00000000,-1.25737468,0.21761719,0.00000000
5.00000000,0.65664534,-1.23561297,0.00000000,-1.23561297,0.34335466,0.00000000
5.10000000,0.53308405,-1.20127750,0.00000000,-1.20127750,0.46691595,0.00000000
5.20000000,0.41295630,-1.15458591,0.00000000,-1.15458591,0.58704370,0.00000000
5.30000000,0.29749771,-1.09588154,0.00000000,-1.09588154,0.70250229,0.00000000
5.40000000,0.18790955,-1.02563131,0.00000000,-1.02563131,0.81209045,0.00000000
5.50000000,0.08534642,-0.94442226,0.00000000,-0.94442226,0.91465358,0.00000000
5.60000000,-0.00909580,-0.85295690,0.00000000,-0.85295690,1.00909580,0.00000000
5.70000000,-0.09439149,-0.75204732,0.00000000,-0.75204732,1.09439149,0.00000000
5.80000000,-0.16959623,-0.64260817,0.00000000,-0.64260817,1.16959623,0.00000000
5.90000000,-0.23385704,-0.52564855,0.00000000,-0.52564855,1.23385704,0.00000000
6.00000000,-0.28642190,-0.40226285,0.00000000,-0.40226285,1.28642190,0.00000000
6.10000000,-0.32664818,-0.27362066,0.00000000,-0.27362066,1.32664818,0.00000000
6.20000000,-0.35401025,-0.14095584,0.00000000,-0.14095584,1.35401025,0.00000000
6.30000000,-0.36810583,-0.00555481,0.00000000,-0.00555481,1.36810583,0.00000000
6.40000000,-0.36866131,0.13125577,0.00000000,0.13125577,1.36866131,0.00000000
6.50000000,-0.35553574,0.26812190,0.00000000,0.26812190,1.35553574,0.00000000
6.60000000,-0.32872355,0.40367547,0.00000000,0.40367547,1.32872355,0.00000000
6.70000000,-0.28835600,0.53654783,0.00000000,0.53654783,1.28835600,0.00000000
6.80000000,-0.23470122,0.66538343,0.00000000,0.66538343,1.23470122,0.00000000
6.90000000,-0.16816287,0.78885355,0.00000000,0.78885355,1.16816287,0.00000000
7.00000000,-0.08927752,0.90566984,0.00000000,0.90566984,1.08927752,0.00000000
7.10000000,0.00128946,1.01459759,0.00000000,1.01459759,0.99871054,0.00000000
7.20000000,0.10274922,1.11446864,0.00000000,1.11446864,0.89725078,0.00000000
7.30000000,0.21419609,1.20419372,0.00000000,1.20419372,0.78580391,0.00000000
7.40000000,0.33461546,1.28277411,0.00000000,1.28277411,0.66538454,0.00000000
7.50000000,0.46289287,1.34931257,0.00000000,1.34931257,0.53710713,0.00000000
7.60000000,0.59782413,1.40302328,0.00000000,1.40302328,0.40217587,0.00000000
7.70000000,0.73812646,1.44324087,0.00000000,1.44324087,0.26187354,0.00000000
7.80000000,0.88245054,1.46942822,0.00000000,1.46942822,0.11754946,0.00000000
7.90000000,1.02939336,1.48118317,0.00000000,1.48118317,-0.02939336,0.00000000
8.00000000,1.17751168,1.47824383,0.00000000,1.47824383,-0.17751168,0.00000000
8.10000000,1.32533606,1.46049266,0.00000000,1.46049266,-0.32533606,0.00000000
8.20000000,1.47138533,1.42795906,0.00000000,1.42795906,-0.47138533,0.00000000
8.30000000,1.61418124,1.38082052,0.00000000,1.38082052,-0.61418124,0.00000000
8.40000000,1.75226329,1.31940240,0.00000000,1.31940240,-0.75226329,0.00000000
8.50000000,1.88420353,1.24417607,0.00000000,1.24417607,-0.88420353,0.00000000
8.60000000,2.00862114,1.15575572,0.00000000,1.15575572,-1.00862114,0.00000000
8.70000000,2.12419671,1.05489360,0.00000000,1.05489360,-1.12419671,0.00000000
8.80000000,2.22968607,0.94247393,0.00000000,0.94247393,-1.22968607,0.00000000
8.90000000,2.32393346,0.81950533,0.00000000,0.81950533,-1.32393346,0.00000000
9.00000000,2.40588399,0.68711198,0.00000000,0.68711198,-1.40588399,0.00000000
9.10000000,2.47459519,0.54652358,0.00000000,0.54652358,-1.47459519,0.00000000
9.20000000,2.52924755,0.39906406,0.00000000,0.39906406,-1.52924755,0.00000000
9.30000000,2.56915396,0.24613931,0.00000000,0.24613931,-1.56915396,0.00000000
9.40000000,2.59376789,0.08922391,0.00000000,0.08922391,-1.59376789,0.00000000
9.50000000,2.60269028,-0.07015288,0.00000000,-0.07015288,-1.60269028,0.00000000
9.60000000,2.59567499,-0.23042191,0.00000000,-0.23042191,-1.59567499,0.00000000
9.70000000,2.57263280,-0.38998940,0.00000000,-0.38998940,-1.57263280,0.00000000
9.80000000,2.53363386,-0.54725268,0.00000000,-0.54725268,-1.53363386,0.00000000
9.90000000,2.47890859,-0.70061607,0.00000000,-0.70061607,-1.47890859,0.00000000
10.00000000,2.40884698,-0.84850693,0.00000000,-0.84850693,-1.40884698,0.00000000
10.10000000,2.32399629,-0.98939163,0.00000000,-0.98939163,-1.32399629,0.00000000
10.20000000,2.22505713,-1.12179126,0.00000000,-1.12179126,-1.22505713,0.00000000
10.30000000,2.11287800,-1.24429697,0.00000000,-1.24429697,-1.11287800,0.00000000
10.40000000,1.98844830,-1.35558477,0.00000000,-1.35558477,-0.98844830,0.00000000
10.50000000,1.85288983,-1.45442960,0.00000000,-1.45442960,-0.85288983,0.00000000
10.60000000,1.70744687,-1.53971858,0.00000000,-1.53971858,-0.70744687,0.00000000
10.70000000,1.55347501,-1.61046327,0.00000000,-1.61046327,-0.55347501,0.00000000
10.80000000,1.39242868,-1.66581077,0.00000000,-1.66581077,-0.39242868,0.00000000
10.90000000,1.22584761,-1.70505364,0.00000000,-1.70505364,-0.22584761,0.00000000
11.00000000,1.05534224,-1.72763840,0.00000000,-1.72763840,-0.05534224,0.00000000
11.10000000,0.88257840,-1.73317262,0.00000000,-1.73317262,0.11742160,0.00000000
11.20000000,0.70926114,-1.72143046,0.00000000,-1.72143046,0.29073886,0.00000000
11.30000000,0.53711809,-1.69235658,0.00000000,-1.69235658,0.46288191,0.00000000
11.40000000,0.36788244,-1.64606839,0.00000000,-1.64606839,0.63211756,0.00000000
11.50000000,0.20327560,-1.58285663,0.00000000,-1.58285663,0.79672440,0.00000000
11.60000000,0.04498993,-1.50318419,0.00000000,-1.50318419,0.95501007,0.00000000
11.70000000,-0.10532848,-1.40768318,0.00000000,-1.40768318,1.10532848,0.00000000
11.80000000,-0.24609680,-1.29715033,0.00000000,-1.29715033,1.24609680,0.00000000
11.90000000,-0.37581184,-1.17254065,0.00000000,-1.17254065,1.37581184,0.00000000
12.00000000,-0.49306590,-1.03495947,0.00000000,-1.03495947,1.49306590,0.00000000
12.10000000,-0.59656185,-0.88565288,0.00000000,-0.88565288,1.59656185,0.00000000
12.20000000,-0.68512714,-0.72599670,0.00000000,-0.72599670,1.68512714,0.00000000
12.30000000,-0.75772681,-0.55748398,0.00000000,-0.55748398,1.75772681,0.00000000
12.40000000,-0.81347521,-0.38171130,0.00000000,-0.38171130,1.81347521,0.00000000
12.50000000,-0.85164634,-0.20036378,0.00000000,-0.20036378,1.85164634,0.00000000
12.60000000,-0.87168271,-0.01519915,0.00000000,-0.01519915,1.87168271,0.00000000
12.70000000,-0.87320263,0.17196912,0.00000000,0.17196912,1.87320263,0.00000000
12.80000000,-0.85600572,0.35928939,0.00000000,0.35928939,1.85600572,0.00000000
12.90000000,-0.82007678,0.54488996,0.00000000,0.54488996,1.82007678,0.00000000
13.00000000,-0.76558778,0.72689764,0.00000000,0.72689764,1.76558778,0.00000000
13.10000000,-0.69289802,0.90345641,0.00000000,0.90345641,1.69289802,0.00000000
13.20000000,-0.60255238,1.07274622,0.00000000,1.07274622,1.60255238,0.00000000
13.30000000,-0.49527775,1.23300145,0.00000000,1.23300145,1.49527775,0.00000000
13.40000000,-0.37197761,1.38252923,0.00000000,1.38252923,1.37197761,0.00000000
13.50000000,-0.23372469,1.51972699,0.00000000,1.51972699,1.23372469,0.00000000
13.60000000,-0.08175199,1.64309946,0.00000000,1.64309946,1.08175199,0.00000000
13.70000000,0.08255796,1.75127466,0.00000000,1.75127466,0.91744204,0.00000000
13.80000000,0.25768542,1.84301886,0.00000000,1.84301886,0.74231458,0.00000000
13.90000000,0.44198731,1.91725032,0.00000000,1.91725032,0.55801269,0.00000000
14.00000000,0.63371234,1.97305159,0.00000000,1.97305159,0.36628766,0.00000000
14.10000000,0.83101750,2.00968035,0.00000000,2.00968035,0.16898250,0.00000000
14.20000000,1.03198554,2.02657860,0.00000000,2.02657860,-0.03198554,0.00000000
14.30000000,1.23464340,2.02338005,0.00000000,2.02338005,-0.23464340,0.00000000
14.40000000,1.43698140,1.99991571,0.00000000,1.99991571,-0.43698140,0.00000000
14.50000000,1.63697297,1.95621757,0.00000000,1.95621757,-0.63697297,0.00000000
14.60000000,1.83259473,1.89252027,0.00000000,1.89252027,-0.83259473,0.00000000
14.70000000,2.02184676,1.80926080,0.00000000,1.80926080,-1.02184676,0.00000000
14.80000000,2.20277284,1.70707612,0.00000000,1.70707612,-1.20277284,0.00000000
14.90000000,2.37348045,1.58679884,0.00000000,1.58679884,-1.37348045,0.00000000
15.00000000,2.53216033,1.44945080,0.00000000,1.44945080,-1.53216033,0.00000000
15.10000000,2.67710541,1.29623476,0.00000000,1.29623476,-1.67710541,0.00000000
15.20000000,2.80672889,1.12852422,0.00000000,1.12852422,-1.80672889,0.00000000
15.30000000,2.91958131,0.94785133,0.00000000,0.94785133,-1.91958131,0.00000000
15.40000000,3.01436644,0.75589320,0.00000000,0.75589320,-2.01436644,0.00000000
15.50000000,3.08995576,0.55445656,0.00000000,0.55445656,-2.08995576,0.00000000
15.60000000,3.14540142,0.34546098,0.00000000,0.34546098,-2.14540142,0.00000000
15.70000000,3.17994752,0.13092084,0.00000000,0.13092084,-2.17994752,0.00000000
15.80000000,3.19303960,-0.08707391,0.00000000,-0.08707391,-2.19303960,0.00000000
15.90000000,3.18433221,-0.30637787,0.00000000,-0.30637787,-2.18433221,0.00000000
16.00000000,3.15369442,-0.52481110,0.00000000,-0.52481110,-2.15369442,0.00000000
16.10000000,3.10121331,-0.74018054,0.00000000,-0.74018054,-2.10121331,0.00000000
16.20000000,3.02719526,-0.95030187,0.00000000,-0.95030187,-2.02719526,0.00000000
16.30000000,2.93216507,-1.15302140,0.00000000,-1.15302140,-1.93216507,0.00000000
16.40000000,2.81686293,-1.34623790,0.00000000,-1.34623790,-1.81686293,0.00000000
16.50000000,2.68223914,-1.52792420,0.00000000,-1.52792420,-1.68223914,0.00000000
16.60000000,2.52944672,-1.69614811,0.00000000,-1.69614811,-1.52944672,0.00000000
16.70000000,2.35983191,-1.84909278,0.00000000,-1.84909278,-1.35983191,0.00000000
16.80000000,2.17492263,-1.98507597,0.00000000,-1.98507597,-1.17492263,0.00000000
16.90000000,1.97641504,-2.10256824,0.00000000,-2.10256824,-0.97641504,0.00000000
17.00000000,1.76615821,-2.20020974,0.00000000,-2.20020974,-0.76615821,0.00000000
17.10000000,1.54613724,-2.27682556,0.00000000,-2.27682556,-0.54613724,0.00000000
17.20000000,1.31845468,-2.33143929,0.00000000,-2.33143929,-0.31845468,0.00000000
17.30000000,1.08531075,-2.36328475,0.00000000,-2.36328475,-0.08531075,0.00000000
17.40000000,0.84898228,-2.37181583,0.00000000,-2.37181583,0.15101772,0.00000000
17.50000000,0.61180070,-2.35671406,0.00000000,-2.35671406,0.38819930,0.00000000
17.60000000,0.37612929,-2.31789413,0.00000000,-2.31789413,0.62387071,0.00000000
17.70000000,0.14433988,-2.25550706,0.00000000,-2.25550706,0.85566012,0.00000000
17.80000000,-0.08121083,-2.16994104,0.00000000,-2.16994104,1.08121083,0.00000000
17.90000000,-0.29820493,-2.06181996,0.00000000,-2.06181996,1.29820493,0.00000000
18.00000000,-0.50438693,-1.93199947,0.00000000,-1.93199947,1.50438693,0.00000000
18.10000000,-0.69758688,-1.78156078,0.00000000,-1.78156078,1.69758688,0.00000000
18.20000000,-0.87574295,-1.61180209,0.00000000,-1.61180209,1.87574295,0.00000000
18.30000000,-1.03692316,-1.42422779,0.00000000,-1.42422779,2.03692316,0.00000000
18.40000000,-1.17934594,-1.22053548,0.00000000,-1.22053548,2.17934594,0.00000000
18.50000000,-1.30139949,-1.00260088,0.00000000,-1.00260088,2.30139949,0.00000000
18.60000000,-1.40165958,-0.77246093,0.00000000,-0.77246093,2.40165958,0.00000000
18.70000000,-1.47890567,-0.53229498,0.00000000,-0.53229498,2.47890567,0.00000000
18.80000000,-1.53213517,-0.28440441,0.00000000,-0.28440441,2.53213517,0.00000000
18.90000000,-1.56057561,-0.03119089,0.00000000,-0.03119089,2.56057561,0.00000000
19.00000000,-1.56369470,0.22486667,0.00000000,0.22486667,2.56369470,0.00000000
19.10000000,-1.54120803,0.48123614,0.00000000,0.48123614,2.54120803,0.00000000
19.20000000,-1.49308442,0.73535694,0.00000000,0.73535694,2.49308442,0.00000000
19.30000000,-1.41954872,0.98466538,0.00000000,0.98466538,2.41954872,0.00000000
19.40000000,-1.32108218,1.22662026,0.00000000,1.22662026,2.32108218,0.00000000
19.50000000,-1.19842016,1.45872847,0.00000000,1.45872847,2.19842016,0.00000000
19.60000000,-1.05254731,1.67857049,0.00000000,1.67857049,2.05254731,0.00000000
19.70000000,-0.88469026,1.88382522,0.00000000,1.88382522,1.88469026,0.00000000
19.80000000,-0.69630774,2.07229425,0.00000000,2.07229425,1.69630774,0.00000000
19.90000000,-0.48907832,2.24192502,0.00000000,2.24192502,1.48907832,0.00000000
20.00000000,-0.26488581,2.39083285,0.00000000,2.39083285,1.26488581,0.00000000
